,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf Frequency,Phonemes,No Stress,Part of Speech
0,discipline,RLCH,real,long,complex,1.7e-05,8,4.23,"['D', 'IH1', 'S', 'AH0', 'P', 'L', 'AH0', 'N']","['D', 'IH', 'S', 'AH', 'P', 'L', 'AH', 'N']",VERB
1,strongly,RLCH,real,long,complex,2.95e-05,7,4.47,"['S', 'T', 'R', 'AO1', 'NG', 'L', 'IY0']","['S', 'T', 'R', 'AO', 'NG', 'L', 'IY']",ADV
2,producer,RLCH,real,long,complex,2.75e-05,7,4.44,"['P', 'R', 'AH0', 'D', 'UW1', 'S', 'ER0']","['P', 'R', 'AH', 'D', 'UW', 'S', 'ER']",NOUN
3,emotions,RLCH,real,long,complex,2.34e-05,7,4.37,"['IH0', 'M', 'OW1', 'SH', 'AH0', 'N', 'Z']","['IH', 'M', 'OW', 'SH', 'AH', 'N', 'Z']",NOUN
4,describing,RLCH,real,long,complex,1.7e-05,9,4.23,"['D', 'IH0', 'S', 'K', 'R', 'AY1', 'B', 'IH0', 'NG']","['D', 'IH', 'S', 'K', 'R', 'AY', 'B', 'IH', 'NG']",VERB
5,invited,RLCH,real,long,complex,3.39e-05,7,4.53,"['IH0', 'N', 'V', 'AY1', 'T', 'AH0', 'D']","['IH', 'N', 'V', 'AY', 'T', 'AH', 'D']",VERB
6,disappeared,RLCH,real,long,complex,1.82e-05,8,4.26,"['D', 'IH2', 'S', 'AH0', 'P', 'IH1', 'R', 'D']","['D', 'IH', 'S', 'AH', 'P', 'IH', 'R', 'D']",VERB
7,involves,RLCH,real,long,complex,2.19e-05,7,4.34,"['IH0', 'N', 'V', 'AA1', 'L', 'V', 'Z']","['IH', 'N', 'V', 'AA', 'L', 'V', 'Z']",VERB
8,americans,RLCH,real,long,complex,6.76e-05,9,4.83,"['AH0', 'M', 'EH1', 'R', 'AH0', 'K', 'AH0', 'N', 'Z']","['AH', 'M', 'EH', 'R', 'AH', 'K', 'AH', 'N', 'Z']",PROPN
9,promotion,RLCH,real,long,complex,2.57e-05,8,4.41,"['P', 'R', 'AH0', 'M', 'OW1', 'SH', 'AH0', 'N']","['P', 'R', 'AH', 'M', 'OW', 'SH', 'AH', 'N']",NOUN
10,segment,RLCH,real,long,complex,1.82e-05,7,4.26,"['S', 'EH2', 'G', 'M', 'EH1', 'N', 'T']","['S', 'EH', 'G', 'M', 'EH', 'N', 'T']",NOUN
11,democracy,RLCH,real,long,complex,3.24e-05,9,4.51,"['D', 'IH0', 'M', 'AA1', 'K', 'R', 'AH0', 'S', 'IY0']","['D', 'IH', 'M', 'AA', 'K', 'R', 'AH', 'S', 'IY']",NOUN
12,indiana,RLCH,real,long,complex,2.04e-05,7,4.31,"['IH2', 'N', 'D', 'IY0', 'AE1', 'N', 'AH0']","['IH', 'N', 'D', 'IY', 'AE', 'N', 'AH']",PROPN
13,afterwards,RLCH,real,long,complex,2.63e-05,8,4.42,"['AE1', 'F', 'T', 'ER0', 'W', 'ER0', 'D', 'Z']","['AE', 'F', 'T', 'ER', 'W', 'ER', 'D', 'Z']",ADV
14,minister,RLCH,real,long,complex,0.00011,7,5.04,"['M', 'IH1', 'N', 'AH0', 'S', 'T', 'ER0']","['M', 'IH', 'N', 'AH', 'S', 'T', 'ER']",PROPN
15,typical,RLCH,real,long,complex,3.89e-05,7,4.59,"['T', 'IH1', 'P', 'AH0', 'K', 'AH0', 'L']","['T', 'IH', 'P', 'AH', 'K', 'AH', 'L']",ADJ
16,newspapers,RLCH,real,long,complex,1.78e-05,8,4.25,"['N', 'UW1', 'Z', 'P', 'EY2', 'P', 'ER0', 'Z']","['N', 'UW', 'Z', 'P', 'EY', 'P', 'ER', 'Z']",NOUN
17,resources,RLCH,real,long,complex,8.13e-05,8,4.91,"['R', 'IY1', 'S', 'AO0', 'R', 'S', 'IH0', 'Z']","['R', 'IY', 'S', 'AO', 'R', 'S', 'IH', 'Z']",NOUN
18,division,RLCH,real,long,complex,7.24e-05,7,4.86,"['D', 'IH0', 'V', 'IH1', 'ZH', 'AH0', 'N']","['D', 'IH', 'V', 'IH', 'ZH', 'AH', 'N']",NOUN
19,developing,RLCH,real,long,complex,4.57e-05,9,4.66,"['D', 'IH0', 'V', 'EH1', 'L', 'AH0', 'P', 'IH0', 'NG']","['D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'IH', 'NG']",VERB
20,initiative,RLCH,real,long,complex,2.29e-05,8,4.36,"['IH0', 'N', 'IH1', 'SH', 'AH0', 'T', 'IH0', 'V']","['IH', 'N', 'IH', 'SH', 'AH', 'T', 'IH', 'V']",NOUN
21,context,RLCH,real,long,complex,4.27e-05,8,4.63,"['K', 'AA1', 'N', 'T', 'EH0', 'K', 'S', 'T']","['K', 'AA', 'N', 'T', 'EH', 'K', 'S', 'T']",NOUN
22,humanity,RLCH,real,long,complex,2.09e-05,9,4.32,"['HH', 'Y', 'UW0', 'M', 'AE1', 'N', 'IH0', 'T', 'IY0']","['HH', 'Y', 'UW', 'M', 'AE', 'N', 'IH', 'T', 'IY']",NOUN
23,starting,RLCH,real,long,complex,0.000117,7,5.07,"['S', 'T', 'AA1', 'R', 'T', 'IH0', 'NG']","['S', 'T', 'AA', 'R', 'T', 'IH', 'NG']",VERB
24,newspaper,RLCH,real,long,complex,3.98e-05,7,4.6,"['N', 'UW1', 'Z', 'P', 'EY2', 'P', 'ER0']","['N', 'UW', 'Z', 'P', 'EY', 'P', 'ER']",NOUN
25,assistance,RLCH,real,long,complex,3.89e-05,8,4.59,"['AH0', 'S', 'IH1', 'S', 'T', 'AH0', 'N', 'S']","['AH', 'S', 'IH', 'S', 'T', 'AH', 'N', 'S']",NOUN
