,Word,Size,Length,Frequency,Zipf Frequency,Morphology,Lexicality,Part of Speech,Phonemes,No Stress,Condition
0,amaland,long,7,,,simple,pseudo,,"['AE1', 'M', 'AH0', 'L', 'AH0', 'N', 'D']","['AE', 'M', 'AH', 'L', 'AH', 'N', 'D']",PLS
1,amalanx,long,8,,,simple,pseudo,,"['AE1', 'M', 'AH0', 'L', 'AA2', 'N', 'S', 'K']","['AE', 'M', 'AH', 'L', 'AA', 'N', 'S', 'K']",PLS
2,amalict,long,7,,,simple,pseudo,,"['AE1', 'M', 'AH0', 'L', 'IH0', 'K', 'T']","['AE', 'M', 'AH', 'L', 'IH', 'K', 'T']",PLS
3,blemity,long,7,,,simple,pseudo,,"['B', 'L', 'EH1', 'M', 'AH0', 'T', 'IY0']","['B', 'L', 'EH', 'M', 'AH', 'T', 'IY']",PLS
4,bridict,long,7,,,simple,pseudo,,"['B', 'R', 'IH1', 'D', 'IH0', 'K', 'T']","['B', 'R', 'IH', 'D', 'IH', 'K', 'T']",PLS
5,bugular,long,7,,,simple,pseudo,,"['B', 'Y', 'UW1', 'G', 'AH0', 'L', 'ER0']","['B', 'Y', 'UW', 'G', 'AH', 'L', 'ER']",PLS
6,canguid,long,7,,,simple,pseudo,,"['K', 'AE1', 'NG', 'G', 'W', 'AH0', 'D']","['K', 'AE', 'NG', 'G', 'W', 'AH', 'D']",PLS
7,capient,long,7,,,simple,pseudo,,"['K', 'AE1', 'P', 'IY0', 'AH0', 'N', 'T']","['K', 'AE', 'P', 'IY', 'AH', 'N', 'T']",PLS
8,fanguid,long,7,,,simple,pseudo,,"['F', 'AE1', 'NG', 'G', 'W', 'AH0', 'D']","['F', 'AE', 'NG', 'G', 'W', 'AH', 'D']",PLS
9,forizon,long,7,,,simple,pseudo,,"['F', 'AO1', 'R', 'IH0', 'Z', 'AA0', 'N']","['F', 'AO', 'R', 'IH', 'Z', 'AA', 'N']",PLS
10,fridium,long,7,,,simple,pseudo,,"['F', 'R', 'IH1', 'D', 'IY0', 'AH0', 'M']","['F', 'R', 'IH', 'D', 'IY', 'AH', 'M']",PLS
11,frigand,long,7,,,simple,pseudo,,"['F', 'R', 'IH1', 'G', 'AH0', 'N', 'D']","['F', 'R', 'IH', 'G', 'AH', 'N', 'D']",PLS
12,iridict,long,7,,,simple,pseudo,,"['IH0', 'R', 'IH1', 'D', 'IH0', 'K', 'T']","['IH', 'R', 'IH', 'D', 'IH', 'K', 'T']",PLS
13,iriganx,long,7,,,simple,pseudo,,"['IH1', 'R', 'IH0', 'G', 'AE0', 'N', 'S']","['IH', 'R', 'IH', 'G', 'AE', 'N', 'S']",PLS
14,irindle,long,7,,,simple,pseudo,,"['IH0', 'R', 'IH1', 'N', 'D', 'AH0', 'L']","['IH', 'R', 'IH', 'N', 'D', 'AH', 'L']",PLS
15,iristle,long,7,,,simple,pseudo,,"['IH1', 'R', 'IH0', 'S', 'T', 'AH0', 'L']","['IH', 'R', 'IH', 'S', 'T', 'AH', 'L']",PLS
