,Word,Size,Length,Frequency,Zipf Frequency,Morphology,Lexicality,Part of Speech,Phonemes,No Stress,Condition
0,addreat,short,5,,,simple,pseudo,,"['AH0', 'D', 'R', 'IY1', 'T']","['AH', 'D', 'R', 'IY', 'T']",PSS
1,advange,short,5,,,simple,pseudo,,"['AH0', 'D', 'V', 'EY1', 'NG']","['AH', 'D', 'V', 'EY', 'NG']",PSS
2,advanna,short,6,,,simple,pseudo,,"['AE0', 'D', 'V', 'AE1', 'N', 'AH0']","['AE', 'D', 'V', 'AE', 'N', 'AH']",PSS
3,afflity,short,6,,,simple,pseudo,,"['AE1', 'F', 'L', 'IH0', 'T', 'IY0']","['AE', 'F', 'L', 'IH', 'T', 'IY']",PSS
4,ailence,short,5,,,simple,pseudo,,"['EY1', 'L', 'AH0', 'N', 'S']","['EY', 'L', 'AH', 'N', 'S']",PSS
5,aillage,short,4,,,simple,pseudo,,"['AE1', 'L', 'AH0', 'JH']","['AE', 'L', 'AH', 'JH']",PSS
6,airsute,short,5,,,simple,pseudo,,"['EH1', 'R', 'S', 'UW2', 'T']","['EH', 'R', 'S', 'UW', 'T']",PSS
7,allenue,short,5,,,simple,pseudo,,"['AE1', 'L', 'AH0', 'N', 'UW2']","['AE', 'L', 'AH', 'N', 'UW']",PSS
8,alleron,short,5,,,simple,pseudo,,"['AE1', 'L', 'ER0', 'AH0', 'N']","['AE', 'L', 'ER', 'AH', 'N']",PSS
9,amallow,short,5,,,simple,pseudo,,"['AE1', 'M', 'AH0', 'L', 'OW0']","['AE', 'M', 'AH', 'L', 'OW']",PSS
10,anaemin,short,6,,,simple,pseudo,,"['AE1', 'N', 'AH0', 'M', 'IH0', 'N']","['AE', 'N', 'AH', 'M', 'IH', 'N']",PSS
11,anaempt,short,6,,,simple,pseudo,,"['AH0', 'N', 'EH1', 'M', 'P', 'T']","['AH', 'N', 'EH', 'M', 'P', 'T']",PSS
12,astouac,short,6,,,simple,pseudo,,"['AH0', 'S', 'T', 'UW1', 'AH0', 'T']","['AH', 'S', 'T', 'UW', 'AH', 'T']",PSS
13,attemin,short,6,,,simple,pseudo,,"['AH0', 'T', 'IY1', 'M', 'AH0', 'N']","['AH', 'T', 'IY', 'M', 'AH', 'N']",PSS
14,balange,short,6,,,simple,pseudo,,"['B', 'AE1', 'L', 'AH0', 'N', 'JH']","['B', 'AE', 'L', 'AH', 'N', 'JH']",PSS
15,blemiss,short,6,,,simple,pseudo,,"['B', 'L', 'EH1', 'M', 'IH0', 'S']","['B', 'L', 'EH', 'M', 'IH', 'S']",PSS
16,brinbow,short,6,,,simple,pseudo,,"['B', 'R', 'IH1', 'N', 'B', 'OW0']","['B', 'R', 'IH', 'N', 'B', 'OW']",PSS
17,brisber,short,6,,,simple,pseudo,,"['B', 'R', 'IH1', 'S', 'B', 'ER0']","['B', 'R', 'IH', 'S', 'B', 'ER']",PSS
18,cantain,short,6,,,simple,pseudo,,"['K', 'AE1', 'N', 'T', 'EY2', 'N']","['K', 'AE', 'N', 'T', 'EY', 'N']",PSS
19,cisteel,short,6,,,simple,pseudo,,"['S', 'IH1', 'S', 'T', 'IY2', 'L']","['S', 'IH', 'S', 'T', 'IY', 'L']",PSS
20,cistery,short,6,,,simple,pseudo,,"['S', 'IH1', 'S', 'T', 'ER0', 'IY0']","['S', 'IH', 'S', 'T', 'ER', 'IY']",PSS
21,contass,short,6,,,simple,pseudo,,"['K', 'AA1', 'N', 'T', 'AE2', 'S']","['K', 'AA', 'N', 'T', 'AE', 'S']",PSS
22,conthen,short,6,,,simple,pseudo,,"['K', 'AA1', 'N', 'TH', 'AH0', 'N']","['K', 'AA', 'N', 'TH', 'AH', 'N']",PSS
23,conthol,short,6,,,simple,pseudo,,"['K', 'AA1', 'N', 'TH', 'AH0', 'L']","['K', 'AA', 'N', 'TH', 'AH', 'L']",PSS
24,curtish,short,5,,,simple,pseudo,,"['K', 'ER1', 'T', 'IH0', 'SH']","['K', 'ER', 'T', 'IH', 'SH']",PSS
25,despire,short,6,,,simple,pseudo,,"['D', 'IH0', 'S', 'P', 'AY1', 'R']","['D', 'IH', 'S', 'P', 'AY', 'R']",PSS
26,despitt,short,6,,,simple,pseudo,,"['D', 'EH1', 'S', 'P', 'IH0', 'T']","['D', 'EH', 'S', 'P', 'IH', 'T']",PSS
27,epiphel,short,6,,,simple,pseudo,,"['EH1', 'P', 'AH0', 'F', 'EH2', 'L']","['EH', 'P', 'AH', 'F', 'EH', 'L']",PSS
28,fantass,short,5,,,simple,pseudo,,"['F', 'AE1', 'N', 'T', 'S']","['F', 'AE', 'N', 'T', 'S']",PSS
29,fanvass,short,6,,,simple,pseudo,,"['F', 'AE1', 'N', 'V', 'AE0', 'S']","['F', 'AE', 'N', 'V', 'AE', 'S']",PSS
30,gentass,short,5,,,simple,pseudo,,"['JH', 'EH1', 'N', 'T', 'S']","['JH', 'EH', 'N', 'T', 'S']",PSS
31,gentery,short,6,,,simple,pseudo,,"['JH', 'EH1', 'N', 'T', 'ER0', 'IY0']","['JH', 'EH', 'N', 'T', 'ER', 'IY']",PSS
32,gravite,short,6,,,simple,pseudo,,"['G', 'R', 'AE1', 'V', 'IH0', 'T']","['G', 'R', 'AE', 'V', 'IH', 'T']",PSS
33,hirlock,short,5,,,simple,pseudo,,"['HH', 'ER1', 'L', 'AA2', 'K']","['HH', 'ER', 'L', 'AA', 'K']",PSS
34,horgive,short,6,,,simple,pseudo,,"['HH', 'AO1', 'R', 'G', 'IH0', 'V']","['HH', 'AO', 'R', 'G', 'IH', 'V']",PSS
35,ingence,short,6,,,simple,pseudo,,"['IH1', 'NG', 'G', 'AH0', 'N', 'S']","['IH', 'NG', 'G', 'AH', 'N', 'S']",PSS
36,inspitt,short,6,,,simple,pseudo,,"['IH1', 'N', 'S', 'P', 'IH0', 'T']","['IH', 'N', 'S', 'P', 'IH', 'T']",PSS
37,invouac,short,6,,,simple,pseudo,,"['IH1', 'N', 'V', 'W', 'AA2', 'K']","['IH', 'N', 'V', 'W', 'AA', 'K']",PSS
38,irisbee,short,6,,,simple,pseudo,,"['IH0', 'R', 'IH1', 'S', 'B', 'IY0']","['IH', 'R', 'IH', 'S', 'B', 'IY']",PSS
39,irisber,short,6,,,simple,pseudo,,"['IH1', 'R', 'IH0', 'S', 'B', 'ER0']","['IH', 'R', 'IH', 'S', 'B', 'ER']",PSS
40,javange,short,6,,,simple,pseudo,,"['JH', 'AH0', 'V', 'EY1', 'N', 'JH']","['JH', 'AH', 'V', 'EY', 'N', 'JH']",PSS
41,jugatti,short,6,,,simple,pseudo,,"['JH', 'UW0', 'G', 'AA1', 'T', 'IY0']","['JH', 'UW', 'G', 'AA', 'T', 'IY']",PSS
42,leprobe,short,6,,,simple,pseudo,,"['L', 'EH1', 'P', 'R', 'OW0', 'B']","['L', 'EH', 'P', 'R', 'OW', 'B']",PSS
43,librare,short,6,,,simple,pseudo,,"['L', 'AY1', 'B', 'R', 'EY2', 'R']","['L', 'AY', 'B', 'R', 'EY', 'R']",PSS
44,mentass,short,6,,,simple,pseudo,,"['M', 'EH1', 'N', 'T', 'AH0', 'S']","['M', 'EH', 'N', 'T', 'AH', 'S']",PSS
45,mentery,short,6,,,simple,pseudo,,"['M', 'EH1', 'N', 'T', 'ER0', 'IY0']","['M', 'EH', 'N', 'T', 'ER', 'IY']",PSS
46,mysteel,short,6,,,simple,pseudo,,"['M', 'IH1', 'S', 'T', 'IY2', 'L']","['M', 'IH', 'S', 'T', 'IY', 'L']",PSS
47,mystern,short,6,,,simple,pseudo,,"['M', 'IH1', 'S', 'T', 'ER0', 'N']","['M', 'IH', 'S', 'T', 'ER', 'N']",PSS
48,natcher,short,4,,,simple,pseudo,,"['N', 'AE1', 'CH', 'ER0']","['N', 'AE', 'CH', 'ER']",PSS
49,outchen,short,5,,,simple,pseudo,,"['AW1', 'T', 'K', 'EH2', 'N']","['AW', 'T', 'K', 'EH', 'N']",PSS
50,outcher,short,4,,,simple,pseudo,,"['AW1', 'T', 'K', 'ER0']","['AW', 'T', 'K', 'ER']",PSS
51,outchet,short,4,,,simple,pseudo,,"['AW0', 'T', 'EH1', 'K']","['AW', 'T', 'EH', 'K']",PSS
52,patchet,short,5,,,simple,pseudo,,"['P', 'AE1', 'CH', 'AH0', 'T']","['P', 'AE', 'CH', 'AH', 'T']",PSS
53,patural,short,6,,,simple,pseudo,,"['P', 'AE1', 'CH', 'ER0', 'AH0', 'L']","['P', 'AE', 'CH', 'ER', 'AH', 'L']",PSS
54,phalage,short,5,,,simple,pseudo,,"['F', 'AE1', 'L', 'AH0', 'JH']","['F', 'AE', 'L', 'AH', 'JH']",PSS
55,phalgam,short,6,,,simple,pseudo,,"['F', 'AE1', 'L', 'G', 'AH0', 'M']","['F', 'AE', 'L', 'G', 'AH', 'M']",PSS
56,phallow,short,4,,,simple,pseudo,,"['F', 'AE1', 'L', 'OW0']","['F', 'AE', 'L', 'OW']",PSS
57,raindle,short,6,,,simple,pseudo,,"['R', 'EY1', 'N', 'D', 'AH0', 'L']","['R', 'EY', 'N', 'D', 'AH', 'L']",PSS
58,saptact,short,6,,,simple,pseudo,,"['S', 'AE1', 'P', 'T', 'AE2', 'K']","['S', 'AE', 'P', 'T', 'AE', 'K']",PSS
59,saptasy,short,6,,,simple,pseudo,,"['S', 'AE1', 'P', 'T', 'S', 'IY0']","['S', 'AE', 'P', 'T', 'S', 'IY']",PSS
